label,date,qbin,mu0,mu0_se_hac,n,r2,mu1,mu2,mu1_se,mu2_se,success,cost
EX:GATE_IO,2025-05-27,Q0.8000_0.9000,7.138308829822499e-05,8.709810386615963e-06,4603,0.026323344869814913,0.00015221093354305106,0.06926823782649608,8.807565417066394e-05,0.3341638674083052,True,0.0024620667217102135
EX:GATE_IO,2025-05-27,Q0.9000_0.9500,4.695300408058267e-05,6.071749714999428e-06,3084,0.023746781611291068,8.345693866076982e-05,0.271199673978472,0.00015117162504757025,0.7216851296798292,True,0.0017087304086824914
EX:GATE_IO,2025-05-28,Q0.8000_0.9000,2.7331881948179682e-05,7.717310159241968e-06,5244,0.004757320101161477,1.1716670283805008e-05,0.9999989999021407,1.4659736800301221e-05,0.6901297485675917,True,0.0021712607986699318
EX:GATE_IO,2025-05-28,Q0.9000_0.9500,4.024116256136596e-05,6.424748793705099e-06,3848,0.027824486063860676,6.67735300420444e-05,0.30060105911219825,0.00010327165956600559,0.6095333816546601,True,0.0013664385381288611
EX:GATE_IO,2025-05-29,Q0.8000_0.9000,5.8996187056604454e-05,1.167364874732911e-05,3821,0.016057304877779788,4.877016959312706e-05,0.6067332203703952,4.627012315581359e-05,0.5245714845732168,True,0.0023439752246383503
EX:GATE_IO,2025-05-29,Q0.9000_0.9500,4.542295701477816e-05,1.0115618589246386e-05,1899,0.02237298274248145,0.00015924025596795576,1.0000000055446044e-06,0.0003548908297550395,0.9059446128577151,True,0.0010090510420776577
EX:GATE_IO,2025-05-30,Q0.8000_0.9000,5.7964869989018424e-05,9.854150827229545e-06,6140,0.011752733797770976,0.0001427225372336243,1.0000000074193777e-06,0.00011011676920805981,0.4445822521666301,True,0.004982523985681938
EX:GATE_IO,2025-05-30,Q0.9000_0.9500,5.266810715017607e-05,7.678434893250362e-06,2605,0.019093266638166573,0.00018120898771608305,1.000053026163086e-06,0.0003922632057214414,0.8914287938032548,True,0.0021185908972342947
EX:GATE_IO,2025-05-30,Q0.9500_0.9700,4.050780969761089e-05,8.632469233501878e-06,1000,0.020027142063727466,0.00017714425045520102,0.0002186692058436513,0.0010006606924668215,1.9484451643765492,True,0.0007312090666118847
EX:GATE_IO,2025-05-31,Q0.8000_0.9000,5.52068230348024e-05,1.0094766535104701e-05,5001,0.010052906800290473,9.545195438073577e-05,0.18716148191923582,8.633756620666525e-05,0.5212102818026708,True,0.004205759796632876
EX:GATE_IO,2025-05-31,Q0.9000_0.9500,5.421896072241258e-05,9.301252654654862e-06,2175,0.019434524381027107,0.000188948939282455,1.0007513549095856e-06,0.00044171677436746575,0.9597843127362602,True,0.001853864782964544
EX:OKX,2025-05-01,Q0.8000_0.9000,1.4022955643651817e-05,2.580069334127647e-06,10540,0.0052139283601889685,4.5073380130829524e-05,1.106980565895734e-06,4.821984612416673e-05,0.47486849046203033,True,0.0019202919989308182
EX:OKX,2025-05-01,Q0.9000_0.9500,1.3756840170906735e-05,2.45778887889555e-06,4952,0.010732499636068038,1.0717974913007238e-05,0.5802658549187708,2.3491139536791138e-05,0.7025785720927953,True,0.0009476652514419514
EX:OKX,2025-05-01,Q0.9500_0.9700,8.296139287840613e-06,2.409035461004657e-06,2322,0.006755220521724614,5.1028784264509665e-05,0.00019640804066563687,0.0003989695179455316,2.17271758364752,True,0.0004312948418771321
EX:OKX,2025-05-01,Q0.9700_0.9900,7.437552949680866e-06,2.0562437989668646e-06,2420,0.009624323046302008,6.117741466148909e-05,7.471533866192396e-05,0.00024945371460788996,0.9829986331027383,True,0.0004429483631481899
EX:OKX,2025-05-02,Q0.8000_0.9000,1.6437214822448735e-05,4.271458524002119e-06,6988,0.005528819401414808,4.128498301132675e-05,0.09854204924526959,5.229262309693691e-05,0.560793944805165,True,0.0016354781714867598
EX:OKX,2025-05-02,Q0.9000_0.9500,1.4601053410663109e-05,3.254915276365819e-06,3643,0.010120550710447596,2.9573488521807435e-05,0.27213803208785137,7.779250223919087e-05,0.8506997331606239,True,0.0008301263436315973
EX:OKX,2025-05-02,Q0.9500_0.9700,6.94493919808541e-06,3.5371849649623568e-06,1588,0.003756829553146712,2.547874469923677e-06,0.7772033102424551,3.251396886612255e-05,3.5217178363379977,True,0.00037446831823772624
EX:OKX,2025-05-02,Q0.9700_0.9900,6.253131083548134e-06,2.938073860319953e-06,1543,0.005739200798334787,1.650707282489151e-05,0.26750663808080183,0.00010899565556469699,1.5860569827296633,True,0.0003335983932458137
EX:OKX,2025-05-03,Q0.8000_0.9000,1.1956655815954003e-05,3.528075054412931e-06,4921,0.004026273473145436,3.825290114657863e-06,0.9999989999706027,7.658541785148087e-06,0.8359457536092374,True,0.0008428393278031228
EX:OKX,2025-05-03,Q0.9000_0.9500,5.604322134948234e-06,2.91015874318588e-06,2537,0.001978707261083401,1.2667727126803146e-06,0.9798570727449786,9.591559340823479e-06,2.4051695776352617,True,0.0004424438316847542
EX:OKX,2025-05-03,Q0.9500_0.9700,1.0874549679177288e-05,2.627968392980803e-06,1053,0.011929503381090667,6.77873216993105e-05,3.6618079214661985e-05,0.0005933511766066402,2.4274021480581687,True,0.00019062102155059055
EX:OKX,2025-05-03,Q0.9700_0.9900,8.630420690136202e-06,2.4201081393031657e-06,1108,0.013412813799643986,5.476187531461628e-05,0.0580893404032958,0.00028692568949501197,1.2635877309488859,True,0.0001939375279221414
EX:OKX,2025-05-04,Q0.8000_0.9000,1.031602519574989e-05,4.1051406291979946e-06,5558,0.00224312589536535,2.9802303395455298e-05,0.042737445015332,6.747277336516692e-05,0.9944979681212859,True,0.001301009804308342
