label,date,qbin,mu0,mu0_se_hac,n,r2,mu1,mu2,mu1_se,mu2_se,success,cost,M,q_outlier
EX:SYNY,2024-01-01,Q0.8000_0.9000,4.37051322171027e-06,2.7345106619719114e-08,1592,0.24985395500546914,2.6067481870360775e-05,0.1314499956639033,0.00015188987391127147,1.2028859392719942,True,5.796725418921348e-06,50,0.999
ALL,2024-01-01,Q0.8000_0.9000,1.4569847826713387e-06,1.991869189460502e-09,2985,0.11106861967175952,1.0057564834418751e-05,0.1020341438398723,7.382617464233085e-05,1.5153627429296332,True,3.2202532314671634e-06,50,0.999
ALL,2024-01-01,Q0.9000_0.9500,1.0408581057340593e-06,1.0095748118931288e-08,1592,0.061818760950653306,8.327680642433945e-06,0.08290361629398142,0.00023689977571323269,5.76929308777898,True,1.8115922573503327e-06,50,0.999
EX:SYNX,2024-01-01,Q0.8000_0.9000,4.336690206856421e-06,3.225555201048989e-08,1584,0.06100716860353095,4.9261447218199466e-05,3.405465911336066e-05,0.0006372324907515151,2.675015317416257,True,2.8840638677851133e-05,100,0.995
EX:SYNY,2024-01-01,Q0.8000_0.9000,8.741666169554182e-06,4.1988537816408307e-08,1584,0.2498541329514693,5.213879259232422e-05,0.13144994344889807,0.00030456907926227115,1.2059229140046726,True,2.307373968212462e-05,100,0.995
ALL,2024-01-01,Q0.8000_0.9000,2.9139695653427146e-06,1.559214102744195e-08,2985,0.11106861967175963,2.011407836264693e-05,0.10123265232888752,0.00014822633582367508,1.5213336916651115,True,1.2880987413006186e-05,100,0.995
ALL,2024-01-01,Q0.9000_0.9500,2.081716211468343e-06,1.5269617332616637e-08,1592,0.06181876095066774,2.46145854979897e-05,0.0001485204698551971,0.00071245822943222,5.870199835405378,True,7.245343229545125e-06,100,0.995
EX:SYNX,2024-01-01,Q0.8000_0.9000,4.336690206856421e-06,3.225555201048989e-08,1584,0.06100716860353095,4.9261447218199466e-05,3.405465911336066e-05,0.0006372324907515151,2.675015317416257,True,2.8840638677851133e-05,100,0.9975
EX:SYNY,2024-01-01,Q0.8000_0.9000,8.741666169554182e-06,4.1988537816408307e-08,1584,0.2498541329514693,5.213879259232422e-05,0.13144994344889807,0.00030456907926227115,1.2059229140046726,True,2.307373968212462e-05,100,0.9975
ALL,2024-01-01,Q0.8000_0.9000,2.9139695653427146e-06,1.559214102744195e-08,2985,0.11106861967175963,2.011407836264693e-05,0.10123265232888752,0.00014822633582367508,1.5213336916651115,True,1.2880987413006186e-05,100,0.9975
ALL,2024-01-01,Q0.9000_0.9500,2.081716211468343e-06,1.5269617332616637e-08,1592,0.06181876095066774,2.46145854979897e-05,0.0001485204698551971,0.00071245822943222,5.870199835405378,True,7.245343229545125e-06,100,0.9975
EX:SYNX,2024-01-01,Q0.8000_0.9000,4.336690206856421e-06,3.225555201048989e-08,1584,0.06100716860353095,4.9261447218199466e-05,3.405465911336066e-05,0.0006372324907515151,2.675015317416257,True,2.8840638677851133e-05,100,0.999
EX:SYNY,2024-01-01,Q0.8000_0.9000,8.741666169554182e-06,4.1988537816408307e-08,1584,0.2498541329514693,5.213879259232422e-05,0.13144994344889807,0.00030456907926227115,1.2059229140046726,True,2.307373968212462e-05,100,0.999
ALL,2024-01-01,Q0.8000_0.9000,2.9139695653427146e-06,1.559214102744195e-08,2985,0.11106861967175963,2.011407836264693e-05,0.10123265232888752,0.00014822633582367508,1.5213336916651115,True,1.2880987413006186e-05,100,0.999
ALL,2024-01-01,Q0.9000_0.9500,2.081716211468343e-06,1.5269617332616637e-08,1592,0.06181876095066774,2.46145854979897e-05,0.0001485204698551971,0.00071245822943222,5.870199835405378,True,7.245343229545125e-06,100,0.999
