date,next_date,ccy,available,active,reason_unavailable,s5_lend,s5_fund,spread,ret_equity,ret_notional,pnl_usd,lend_pnl_usd,lend_pnl_rates,lend_pnl_fx,debt_cost_usd,debt_cost_interest,debt_cost_fx
2020-10-14,2020-10-21,BRL,1,1,,0.05123811111111111,-0.0001211645224392569,0.05135927563355037,-0.041924128772278316,-0.008384825754455663,-83848.25754455663,-41957.88032056205,18627.224715724587,-60585.10503628664,41890.37722399458,852.0,41038.37722399458
2020-10-14,2020-10-21,NGN,0,0,missing_curve,,-0.0001211645224392569,,,,0.0,,,,,,
2020-10-14,2020-10-21,PKR,0,0,no_1y_5y_coverage,,-0.0001211645224392569,,,,0.0,,,,,,
2020-10-14,2020-10-21,TRY,0,0,no_1y_5y_coverage,,-0.0001211645224392569,,,,0.0,,,,,,
2020-10-14,2020-10-21,ZAR,0,0,no_1y_5y_coverage,,-0.0001211645224392569,,,,0.0,,,,,,
2020-10-21,2020-10-28,BRL,1,1,,0.051137666666666665,1.2437183891037505e-06,0.05113642294827756,-0.12852352149252685,-0.025704704298505375,-257047.04298505373,-221575.62352082506,-44847.90462663397,-176727.7188941911,35471.419464228675,851.6923076920211,34619.72715653665
2020-10-21,2020-10-28,NGN,0,0,missing_curve,,1.2437183891037505e-06,,,,0.0,,,,,,
2020-10-21,2020-10-28,PKR,0,0,no_1y_5y_coverage,,1.2437183891037505e-06,,,,0.0,,,,,,
2020-10-21,2020-10-28,TRY,0,0,no_1y_5y_coverage,,1.2437183891037505e-06,,,,0.0,,,,,,
2020-10-21,2020-10-28,ZAR,0,0,no_1y_5y_coverage,,1.2437183891037505e-06,,,,0.0,,,,,,
2020-10-28,2020-11-04,BRL,1,1,,0.052462444444444443,-0.00023224308275993484,0.05269468752720438,-0.01932964130618656,-0.003865928261237312,-38659.28261237312,-71936.07414975017,14879.029661681503,-86815.10381143168,-33276.79153737705,852.3076923079789,-34129.09922968503
2020-10-28,2020-11-04,NGN,0,0,missing_curve,,-0.00023224308275993484,,,,0.0,,,,,,
2020-10-28,2020-11-04,PKR,0,0,no_1y_5y_coverage,,-0.00023224308275993484,,,,0.0,,,,,,
2020-10-28,2020-11-04,TRY,0,0,no_1y_5y_coverage,,-0.00023224308275993484,,,,0.0,,,,,,
2020-10-28,2020-11-04,ZAR,0,0,no_1y_5y_coverage,,-0.00023224308275993484,,,,0.0,,,,,,
