date,ccy,pv_entry,abs_err,min_tenor,max_tenor
2021-09-22,TRY,1.0,0.0,1.0,10.0
2021-09-29,BRL,1.0,0.0,1.0,10.0
2021-09-29,TRY,1.0,0.0,1.0,10.0
2021-10-06,BRL,1.0,0.0,1.0,10.0
2021-10-06,TRY,1.0,0.0,1.0,10.0
2021-10-13,BRL,1.0,0.0,1.0,10.0
2021-10-13,TRY,1.0,0.0,1.0,10.0
2021-10-20,BRL,1.0,0.0,1.0,10.0
2021-10-20,TRY,1.0,0.0,1.0,10.0
2021-10-27,BRL,1.0,0.0,1.0,10.0
2021-10-27,TRY,1.0,0.0,1.0,10.0
2021-11-03,BRL,1.0,0.0,1.0,10.0
2021-11-03,TRY,1.0,0.0,1.0,10.0
2021-11-10,BRL,1.0,0.0,1.0,10.0
2021-11-10,TRY,1.0,0.0,1.0,10.0
2021-11-17,BRL,1.0,0.0,1.0,10.0
2021-11-17,TRY,1.0,0.0,1.0,10.0
2021-11-24,BRL,1.0,0.0,1.0,10.0
2021-11-24,TRY,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2021-12-01,BRL,1.0,0.0,1.0,10.0
2021-12-01,TRY,1.0,0.0,1.0,10.0
2021-12-08,BRL,1.0,0.0,1.0,10.0
2021-12-08,TRY,1.0,0.0,1.0,10.0
2021-12-15,BRL,1.0,0.0,1.0,10.0
2021-12-15,TRY,1.0,0.0,1.0,10.0
2021-12-22,BRL,1.0,0.0,1.0,10.0
2021-12-22,TRY,1.0,0.0,1.0,10.0
2021-12-29,BRL,1.0,0.0,1.0,10.0
2021-12-29,TRY,1.0,0.0,1.0,10.0
2022-01-05,BRL,1.0,0.0,1.0,10.0
2022-01-05,TRY,1.0,0.0,1.0,10.0
2022-01-12,BRL,1.0,0.0,1.0,10.0
2022-01-12,TRY,1.0,0.0,1.0,10.0
2022-01-19,BRL,1.0,0.0,1.0,10.0
2022-01-19,TRY,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2022-01-26,BRL,1.0,0.0,1.0,10.0
2022-01-26,TRY,1.0,0.0,1.0,10.0
2022-02-02,BRL,1.0,0.0,1.0,10.0
2022-02-02,TRY,1.0,0.0,1.0,10.0
2022-02-09,BRL,1.0,0.0,1.0,10.0
2022-02-09,TRY,1.0,0.0,1.0,10.0
2022-02-16,BRL,1.0,0.0,1.0,10.0
2022-02-16,TRY,1.0,0.0,1.0,10.0
2022-02-23,BRL,1.0,0.0,1.0,10.0
2022-02-23,TRY,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2022-03-02,BRL,1.0,0.0,1.0,10.0
2022-03-02,TRY,1.0,0.0,1.0,10.0
2022-03-09,BRL,1.0,0.0,1.0,10.0
2022-03-09,TRY,1.0,0.0,1.0,10.0
2022-03-16,BRL,1.0,0.0,1.0,10.0
2022-03-16,TRY,0.9999999999999998,2.220446049250313e-16,1.0,10.0
2022-03-23,BRL,1.0,0.0,1.0,10.0
2022-03-23,TRY,1.0,0.0,1.0,10.0
2022-03-30,BRL,1.0,0.0,1.0,10.0
2022-03-30,TRY,1.0,0.0,1.0,10.0
2022-04-06,BRL,1.0,0.0,1.0,10.0
2022-04-06,TRY,1.0,0.0,1.0,10.0
2022-04-13,BRL,1.0,0.0,1.0,10.0
2022-04-13,TRY,1.0,0.0,1.0,10.0
2022-04-20,BRL,1.0,0.0,1.0,10.0
2022-04-20,TRY,,,1.0,5.0
2022-04-27,BRL,1.0,0.0,1.0,10.0
2022-04-27,TRY,,,1.0,5.0
2022-05-04,BRL,1.0,0.0,1.0,10.0
2022-05-04,TRY,,,1.0,5.0
2022-05-11,BRL,1.0,0.0,1.0,10.0
2022-05-11,TRY,,,1.0,5.0
2022-05-18,BRL,1.0,0.0,1.0,10.0
2022-05-18,TRY,,,1.0,5.0
2022-05-25,BRL,1.0,0.0,1.0,10.0
2022-05-25,TRY,,,1.0,5.0
2022-06-01,BRL,1.0,0.0,1.0,10.0
2022-06-01,TRY,,,1.0,5.0
2022-06-08,BRL,1.0,0.0,1.0,10.0
2022-06-08,TRY,,,1.0,5.0
2022-06-15,BRL,1.0,0.0,1.0,10.0
2022-06-15,NGN,,,1.0,5.0
2022-06-15,TRY,1.0,0.0,1.0,10.0
2022-06-22,BRL,1.0,0.0,1.0,10.0
2022-06-22,NGN,,,1.0,5.0
2022-06-22,TRY,1.0,0.0,1.0,10.0
2022-06-29,BRL,1.0,0.0,1.0,10.0
2022-06-29,NGN,,,1.0,5.0
2022-06-29,TRY,1.0,0.0,1.0,10.0
2022-07-06,BRL,1.0,0.0,1.0,10.0
2022-07-06,NGN,,,1.0,5.0
2022-07-06,TRY,1.0,0.0,1.0,10.0
2022-07-13,BRL,1.0,0.0,1.0,10.0
2022-07-13,NGN,,,1.0,5.0
2022-07-13,TRY,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2022-07-20,BRL,1.0,0.0,1.0,10.0
2022-07-20,NGN,,,1.0,5.0
2022-07-20,TRY,1.0,0.0,1.0,10.0
2022-07-27,BRL,1.0,0.0,1.0,10.0
2022-07-27,NGN,,,1.0,5.0
2022-07-27,TRY,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2022-08-03,BRL,1.0,0.0,1.0,10.0
2022-08-03,NGN,,,1.0,5.0
2022-08-03,TRY,1.0,0.0,1.0,10.0
2022-08-10,BRL,1.0,0.0,1.0,10.0
2022-08-10,NGN,,,1.0,5.0
2022-08-10,TRY,1.0,0.0,1.0,10.0
2022-08-17,BRL,1.0,0.0,1.0,10.0
2022-08-17,NGN,,,1.0,5.0
2022-08-17,TRY,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2022-08-24,BRL,1.0,0.0,1.0,10.0
2022-08-24,TRY,1.0,0.0,1.0,10.0
2022-08-31,BRL,1.0,0.0,1.0,10.0
2022-08-31,TRY,1.0,0.0,1.0,10.0
2022-09-07,BRL,1.0,0.0,1.0,10.0
2022-09-07,TRY,1.0,0.0,1.0,10.0
2022-09-14,BRL,1.0,0.0,1.0,10.0
2022-09-14,TRY,1.0,0.0,1.0,10.0
2022-09-21,BRL,1.0,0.0,1.0,10.0
2022-09-21,TRY,1.0,0.0,1.0,10.0
2022-09-28,BRL,1.0,0.0,1.0,10.0
2022-09-28,TRY,1.0,0.0,1.0,10.0
2022-10-05,BRL,1.0,0.0,1.0,10.0
2022-10-05,TRY,1.0,0.0,1.0,10.0
2022-10-12,BRL,1.0,0.0,1.0,10.0
2022-10-12,TRY,1.0,0.0,1.0,10.0
2022-10-19,BRL,1.0,0.0,1.0,10.0
2022-10-19,PKR,,,1.0,5.0
2022-10-19,TRY,1.0,0.0,1.0,10.0
2022-10-26,BRL,1.0,0.0,1.0,10.0
2022-10-26,PKR,,,1.0,5.0
2022-10-26,TRY,1.0,0.0,1.0,10.0
2022-11-02,BRL,1.0,0.0,1.0,10.0
2022-11-02,PKR,,,1.0,5.0
2022-11-02,TRY,1.0,0.0,1.0,10.0
2022-11-09,BRL,1.0,0.0,1.0,10.0
2022-11-09,PKR,,,1.0,5.0
2022-11-09,TRY,1.0,0.0,1.0,10.0
2022-11-16,BRL,1.0,0.0,1.0,10.0
2022-11-16,PKR,1.0,0.0,1.0,10.0
2022-11-16,TRY,1.0,0.0,1.0,10.0
2022-11-23,BRL,1.0,0.0,1.0,10.0
2022-11-23,PKR,1.0,0.0,1.0,10.0
2022-11-23,TRY,1.0,0.0,1.0,10.0
2022-11-30,BRL,1.0,0.0,1.0,10.0
2022-11-30,PKR,1.0,0.0,1.0,10.0
2022-12-07,BRL,1.0,0.0,1.0,10.0
2022-12-07,PKR,1.0,0.0,1.0,10.0
2022-12-14,BRL,1.0000000000000002,2.220446049250313e-16,1.0,10.0
2022-12-14,PKR,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2022-12-14,TRY,1.0,0.0,1.0,10.0
2022-12-21,BRL,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2022-12-21,PKR,1.0,0.0,1.0,10.0
2022-12-28,BRL,1.0,0.0,1.0,10.0
2022-12-28,PKR,1.0,0.0,1.0,10.0
2023-01-04,BRL,1.0,0.0,1.0,10.0
